,index,Time Series,MXN_USD,MXN_IR,MXN_GDP,MXN_trade,MXN_UE,fc_year,price_gold,h1n1
3869,2015-06-15,2015-06-15,15.419,2.23,0.00567059134913284,0.9760763765872942,0.0441879223209479,0,1181.4,0
3870,2015-06-16,2015-06-16,15.423,2.23,0.00567059134913284,0.9760763765872942,0.0441879223209479,0,1177.8,0
3871,2015-06-17,2015-06-17,15.43,2.23,0.00567059134913284,0.9760763765872942,0.0441879223209479,0,1178.0,0
3872,2015-06-18,2015-06-18,15.270999999999999,2.23,0.00567059134913284,0.9760763765872942,0.0441879223209479,0,1201.9,0
3873,2015-06-19,2015-06-19,15.344000000000001,2.23,0.00567059134913284,0.9760763765872942,0.0441879223209479,0,1203.4,0
3874,2015-06-22,2015-06-22,15.3265,2.23,0.00567059134913284,0.9760763765872942,0.0441879223209479,0,1185.5,0
3875,2015-06-23,2015-06-23,15.397,2.23,0.00567059134913284,0.9760763765872942,0.0441879223209479,0,1178.0,0
3876,2015-06-24,2015-06-24,15.445,2.23,0.00567059134913284,0.9760763765872942,0.0441879223209479,0,1173.8,0
3877,2015-06-25,2015-06-25,15.485999999999999,2.23,0.00567059134913284,0.9760763765872942,0.0441879223209479,0,1172.7,0
3878,2015-06-26,2015-06-26,15.562999999999999,2.23,0.00567059134913284,0.9760763765872942,0.0441879223209479,0,1170.5,0
3879,2015-06-29,2015-06-29,15.6555,2.23,0.00567059134913284,0.9760763765872942,0.0441879223209479,0,1176.0,0
3880,2015-06-30,2015-06-30,15.6902,2.23,0.00567059134913284,0.9760763765872942,0.0441879223209479,0,1171.0,0
3881,2015-07-01,2015-07-01,15.777999999999999,2.15,0.0115302345048654,0.9322267336827236,0.04436562180012519,0,1168.0,0
3882,2015-07-02,2015-07-02,15.6895,2.15,0.0115302345048654,0.9322267336827236,0.04436562180012519,0,1165.3,0
3883,2015-07-06,2015-07-06,15.743,2.15,0.0115302345048654,0.9322267336827236,0.04436562180012519,0,1166.0,0
3884,2015-07-07,2015-07-07,15.833,2.15,0.0115302345048654,0.9322267336827236,0.04436562180012519,0,1156.3,0
3885,2015-07-08,2015-07-08,15.811,2.15,0.0115302345048654,0.9322267336827236,0.04436562180012519,0,1158.5,0
3886,2015-07-09,2015-07-09,15.794,2.15,0.0115302345048654,0.9322267336827236,0.04436562180012519,0,1164.3,0
3887,2015-07-10,2015-07-10,15.7305,2.15,0.0115302345048654,0.9322267336827236,0.04436562180012519,0,1159.3,0
3888,2015-07-13,2015-07-13,15.7295,2.15,0.0115302345048654,0.9322267336827236,0.04436562180012519,0,1154.0,0
3889,2015-07-14,2015-07-14,15.6715,2.15,0.0115302345048654,0.9322267336827236,0.04436562180012519,0,1157.4,0
3890,2015-07-15,2015-07-15,15.774000000000001,2.15,0.0115302345048654,0.9322267336827236,0.04436562180012519,0,1147.4,0
3891,2015-07-16,2015-07-16,15.7985,2.15,0.0115302345048654,0.9322267336827236,0.04436562180012519,0,1144.4,0
3892,2015-07-17,2015-07-17,15.915999999999999,2.15,0.0115302345048654,0.9322267336827236,0.04436562180012519,0,1132.8,0
3893,2015-07-20,2015-07-20,15.9885,2.15,0.0115302345048654,0.9322267336827236,0.04436562180012519,0,1104.6,0
3894,2015-07-21,2015-07-21,15.9565,2.15,0.0115302345048654,0.9322267336827236,0.04436562180012519,0,1105.6,0
3895,2015-07-22,2015-07-22,16.1065,2.15,0.0115302345048654,0.9322267336827236,0.04436562180012519,0,1088.6,0
