,index,Time Series,BRL_USD,BRL_IR,BRL_GDP,BRL_trade,BRL_UE,fc_year,price_gold,h1n1
929,2003-09-12,2003-09-12,2.9,20.0,-0.008502815091079108,0.5106704203951336,0.130770695683844,0,378.3,0
930,2003-09-15,2003-09-15,2.886,20.0,-0.008502815091079108,0.5106704203951336,0.130770695683844,0,373.5,0
931,2003-09-16,2003-09-16,2.897,20.0,-0.008502815091079108,0.5106704203951336,0.130770695683844,0,374.6,0
932,2003-09-17,2003-09-17,2.9225,20.0,-0.008502815091079108,0.5106704203951336,0.130770695683844,0,374.3,0
933,2003-09-18,2003-09-18,2.8989999999999996,20.0,-0.008502815091079108,0.5106704203951336,0.130770695683844,0,378.3,0
934,2003-09-19,2003-09-19,2.91,20.0,-0.008502815091079108,0.5106704203951336,0.130770695683844,0,379.8,0
935,2003-09-22,2003-09-22,2.903,20.0,-0.008502815091079108,0.5106704203951336,0.130770695683844,0,385.5,0
936,2003-09-23,2003-09-23,2.9219999999999997,20.0,-0.008502815091079108,0.5106704203951336,0.130770695683844,0,384.6,0
937,2003-09-24,2003-09-24,2.9130000000000003,20.0,-0.008502815091079108,0.5106704203951336,0.130770695683844,0,385.0,0
938,2003-09-25,2003-09-25,2.932,20.0,-0.008502815091079108,0.5106704203951336,0.130770695683844,0,390.7,0
939,2003-09-26,2003-09-26,2.9325,20.0,-0.008502815091079108,0.5106704203951336,0.130770695683844,0,382.7,0
940,2003-09-29,2003-09-29,2.9360000000000004,20.0,-0.008502815091079108,0.5106704203951336,0.130770695683844,0,382.0,0
941,2003-09-30,2003-09-30,2.928,20.0,-0.008502815091079108,0.5106704203951336,0.130770695683844,0,388.0,0
942,2003-10-01,2003-10-01,2.906,19.0,0.00923256303506638,0.4996410056663277,0.132637622453842,0,383.5,0
943,2003-10-02,2003-10-02,2.8960000000000004,19.0,0.00923256303506638,0.4996410056663277,0.132637622453842,0,382.2,0
944,2003-10-03,2003-10-03,2.886,19.0,0.00923256303506638,0.4996410056663277,0.132637622453842,0,384.3,0
945,2003-10-06,2003-10-06,2.8760000000000003,19.0,0.00923256303506638,0.4996410056663277,0.132637622453842,0,371.3,0
946,2003-10-07,2003-10-07,2.864,19.0,0.00923256303506638,0.4996410056663277,0.132637622453842,0,376.1,0
947,2003-10-08,2003-10-08,2.8525,19.0,0.00923256303506638,0.4996410056663277,0.132637622453842,0,375.3,0
948,2003-10-09,2003-10-09,2.835,19.0,0.00923256303506638,0.4996410056663277,0.132637622453842,0,370.6,0
949,2003-10-10,2003-10-10,2.8415,19.0,0.00923256303506638,0.4996410056663277,0.132637622453842,0,372.3,0
950,2003-10-14,2003-10-14,2.835,19.0,0.00923256303506638,0.4996410056663277,0.132637622453842,0,374.0,0
951,2003-10-15,2003-10-15,2.827,19.0,0.00923256303506638,0.4996410056663277,0.132637622453842,0,373.5,0
952,2003-10-16,2003-10-16,2.845,19.0,0.00923256303506638,0.4996410056663277,0.132637622453842,0,373.4,0
953,2003-10-17,2003-10-17,2.866,19.0,0.00923256303506638,0.4996410056663277,0.132637622453842,0,370.5,0
954,2003-10-20,2003-10-20,2.878,19.0,0.00923256303506638,0.4996410056663277,0.132637622453842,0,373.8,0
955,2003-10-21,2003-10-21,2.87,19.0,0.00923256303506638,0.4996410056663277,0.132637622453842,0,378.2,0
956,2003-10-22,2003-10-22,2.862,19.0,0.00923256303506638,0.4996410056663277,0.132637622453842,0,384.8,0
957,2003-10-23,2003-10-23,2.87,19.0,0.00923256303506638,0.4996410056663277,0.132637622453842,0,384.5,0
